,name,location,students_male,students_female,total_students,classroom,Latitude,Longitude,school_url,kab,level,damage,recons,days,start,end,days_diff,index
3267,(50200473) SD NEGERI 5 SOKONG," Jl. Pengembuk Km 5 , SOKONG, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",71,64,135,6,-8.3773784,116.154129,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/10385AE1-023C-E111-B3EE-475BC2B54E16,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,8
3308,(50200474) SD NEGERI 5 SIGAR PENJALIN," Dasan Tatar, SIGAR PENJALIN, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",72,58,130,6,-8.3913717,116.126085,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/4024BFE2-023C-E111-B7A2-91B3E42346C7,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,21
3312,(50200477) SD NEGERI 6 JENGGALA," Jangkar Dusun Dasan Tengak, JENGGALA, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",25,31,56,6,-8.4064837,116.2050905,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/003C59E1-023C-E111-A0FB-97BF2475DDF9,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,23
3307,(50200496) SD NEGERI 5 JENGGALA," Sebaro, JENGGALA, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",58,48,106,6,-8.3760917,116.1680383,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A01E63E1-023C-E111-9EA0-91EF519DC80D,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,temp,0,,,,20
3321,(50200725) SD NEGERI 1 JENGGALA," Praba, Jenggala, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",84,56,140,6,-8.3675337,116.1755676,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/6098BFE2-023C-E111-ADD4-A300A5E94B77,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,recon,83,,,,25
3257,(50200781) SD NEGERI 1 Tegal Maja," Tanjung, Tegal Maja, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",35,29,64,6,-8.3798251,116.1657322,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A08ABE1E-86FE-E111-B8F9-3B80ED1EACC1,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,6
3238,(50200782) SD NEGERI 1 TANJUNG," Karang Raden , Tanjung, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",97,86,183,8,-8.3567096,116.154371,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/30410DE2-023C-E111-A544-19EC664DB7ED,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,,83,,,,2
3294,(50200788) SD NEGERI 1 SOKONG," Lendang Galuh, Sokong, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",97,97,194,6,-8.3727817,116.1557017,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/4088BCE2-023C-E111-9D55-7F37A4DE09C5,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,"recon, temp",83,10-Dec-18,3-Mar-19,83,17
3225,(50200791) SD NEGERI 1 SIGAR PENJALIN," Cupek, SIGAR PENJALIN, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",154,137,291,10,-8.3849,116.1132,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E040BFE2-023C-E111-B7FF-053F0B0DE410,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,temp,83,,,,0
3325,(50200801) SD NEGERI 1 MEDANA," Jalan Tanjung- Pemenang Dusun Karang Anyar, Depan BTN Nusantara, Medana, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",129,116,245,9,-8.3653433,116.1380933,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/502D7B41-49E7-E111-B617-A900F3302990,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS,temp,83,,,,26
3248,(69759189) SDN 7 Jenggala," Gerenggeng, Dusun Dasan Tengak, Jenggala, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",47,41,88,4,-8.4036642,116.1832566,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/535868BF-22E4-4C1D-B45D-2D5CE90C9D66,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS,,27,,,,4
3255,(69933736) SDI Al - Furqan," Lendang Berora, Desa Sigar Penjalin Kec. Tanjung, Sigar Penjalin, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",60,73,133,7,-8.3813883,116.114845,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/9A08F3CF-2786-443A-A1B9-382714AE2CAE,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,fix,83,31-Oct-18,27-Nov-18,27,5
3292,(69953510) SDI T TELADAN IMAM SYAFII," Jln Lading - lading Km 1, Dusun Karang Langu , Tanjung, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",44,42,86,5,-8.3625683,116.159495,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/1534BF77-3334-45E7-90F8-7E06E8B68663,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,16
